City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
628,628,Ambulu,-8.345,113.6058,75.72,82,97,2.51,ID,2021-02-20 21:49:42
629,629,Lamu,-2.2717,40.902,77.83,86,100,11.3,KE,2021-02-20 21:49:42
635,635,Santiago Del Estero,-27.7951,-64.2615,79.0,67,29,4.0,AR,2021-02-20 21:42:44
638,638,Imuris,30.7833,-110.8667,75.7,18,0,16.87,MX,2021-02-20 21:49:44
640,640,Ambanja,-13.6833,48.45,76.8,89,100,3.49,MG,2021-02-20 21:49:44
641,641,Kyaikto,17.3,97.0167,77.54,59,99,3.69,MM,2021-02-20 21:49:44
646,646,Kathu,7.9178,98.3332,77.0,73,20,14.97,TH,2021-02-20 21:49:45
649,649,Niamey,13.5137,2.1098,77.0,8,62,5.75,NE,2021-02-20 21:46:35
656,656,Axim,4.8699,-2.2405,79.77,83,73,8.75,GH,2021-02-20 21:49:47
657,657,Tucupita,9.0622,-62.051,78.35,70,94,5.68,VE,2021-02-20 21:49:47
661,661,Souillac,-20.5167,57.5167,78.8,83,40,8.05,MU,2021-02-20 21:44:44
663,663,Natitingou,10.3042,1.3796,75.2,23,48,2.3,BJ,2021-02-20 21:49:48
668,668,Tabou,4.423,-7.3528,78.49,87,26,6.58,CI,2021-02-20 21:45:17
671,671,Natal,-5.795,-35.2094,82.4,78,40,11.5,BR,2021-02-20 21:49:49
674,674,Rodrigues Alves,-7.7379999999999995,-72.6509,87.8,66,40,4.61,BR,2021-02-20 21:49:50
675,675,Cicero Dantas,-10.6,-38.3833,77.83,57,98,13.62,BR,2021-02-20 21:49:50
678,678,Abonnema,4.7084,6.7931,80.4,73,75,7.47,NG,2021-02-20 21:49:50
680,680,Alice Springs,-23.7,133.8833,87.01,53,1,4.61,AU,2021-02-20 21:43:59
688,688,Ahuimanu,21.4447,-157.8378,80.6,65,75,9.22,US,2021-02-20 21:49:52
